author,updated_at,like_count,text,public
@TheYoungTurks,2024-03-01T00:23:19Z,262,we need you to become a member today: https://go.tyt.com/theyoungturksmember,True
@Chulitatr,2024-03-01T21:40:57Z,2,"israel isn't fighting an opponent, natanyahu is bombarding civilians.  nethanyahu must be stopped. i'm strongly opposed to the us support of israel's 75-year occupation and the genocide being committed against palestinians.  nethanyahu is already indicted for fraud; and israeli's are calling for him to resign for the war on gaza and the 75-year occupation of palestine; and for over-hauling their judicial system in which he would remain in power--hundreds of thousands israeli's protested this year.  he should be expelled and charged for war crimes for massacre of civilians.",True
@user-zp1ec3ot7g,2024-03-01T21:40:29Z,3,netanyahu is not a terrorist. hamas had attacked israel to begin with. netanyahu is only defending his country. i can see the hatred that you have against israel. you're no better than hamas.,True
@bouhsounehamza6356,2024-03-01T21:39:55Z,3,idf is terrorists occupiers point.,True
@DavidMorrill,2024-03-01T21:39:24Z,3,from the people who said trump would start ww3. your boy biden is a real peace-maker.,True
@user-qv2gx2ye3x,2024-03-01T21:36:21Z,4,"its very overwhelming to see the unconscious support for genocide, it comes to them and our officials so naturally, i just can't even express the disgust i feel.",True
@damon-nomad,2024-03-01T21:33:33Z,5,"9:00 25,000 women and children?  no men or hamas fighters in that number?",True
@kitosio,2024-03-01T21:31:16Z,4,"due to this darkness of killing innocent human being, could israel state exist?",True
@rdca8236,2024-03-01T21:31:13Z,2,cenk and his screaming makes me wonder how he thinks he would make a good president??,True
@salmanazizmohammed6458,2024-03-01T21:30:19Z,4,thank you cenk for telling the world how it is.,True
@curbthepain,2024-03-01T21:30:03Z,2,"man its really disheartening to hear from my coworker ""when will they give up protesting finally"" , ""they've been protesting this war for tens of years now"". all i did was mention arron's sacrifice.",True
@jeffreyjones8531,2024-03-01T21:26:12Z,4,young turds you did not say one word what the palestinians did to israel,True
@brendathrower8843,2024-03-01T21:26:05Z,3,israel forces did not fire on these people.   watch idf footage from the drone.,True
@blackbird4046,2024-03-01T21:25:26Z,2,"_""the uss liberty incident was an attack on a united states navy technical research ship (spy ship), uss liberty, by israeli air force jet fighter aircraft and israeli navy motor torpedo boats, on 8 june 1967, during the six-day war. the combined air and sea attack killed 34 crew members (naval officers, seamen, two marines, and one civilian nsa employee), wounded 171 crew members, and severely damaged the ship. at the time, the ship was in international waters north of the sinai peninsula, about 25.5 nmi (29.3 mi; 47.2 km) northwest from the egyptian city of arish.""_  _""the day israel attacked america""_ -- trt world: https://youtu.be/fgvm2guhr6s",True
@editszilagyi1596,2024-03-01T21:22:57Z,4,``the sickest government of the whole world.``-well said.,True
@pettyboybobs6417,2024-03-01T21:22:09Z,3,"cenk, its horrible what's happening. but where is the anger with hamas?  where is the outrage towards hamas? you can be furious at both, but i only ever hear you screaming about israel. hamas brought this on the palestinian people. one thing i cant stand is a person who's only angered when ""their side"" is harmed...  its not genuine. as far as the whole world ""despising israel"", i think you're dead wrong. the people who cared before this conflict still care and the people who  dont still dont.",True
@MrWrr3rd,2024-03-01T21:19:43Z,4,screaming louder doesn't make things true. cenk sounding like alex jones towards the end there. had to turn it off. not the best way to promote your views. 🫠,True
@naciremavlogs611,2024-03-01T21:18:58Z,2,killing people waiting for food wow this is genocide listen biden time for you to go home this election,True
@johnduff2159,2024-03-01T21:18:53Z,2,liiiiiaars!!!!,True
@richardnyarko9518,2024-03-01T21:18:49Z,2,sister you are right,True
@RobertDovLevin,2024-03-01T21:18:03Z,4,"that is spin. the idf fired on the crowd, because they moved against the israeli troops in a hostile manner. you guys and too many others conveniently omit speaking about hamas committing war crimes against israeli human beings, which has caused the military retaliation that is occurring now. i am jewish and have many muslim friends. that said, i love and support israel, the jewish people and all human beings 💙",True
@deedahazin599,2024-03-01T21:17:24Z,2,new age nazi's,True
@patrickcorbett879,2024-03-01T21:16:39Z,2,this news channel is complete bullshit,True
@rockybalboa-xl4cr,2024-03-01T21:16:17Z,4,free palestine 🇵🇸,True
@YourRealDaddy,2024-03-01T21:14:32Z,2,just a reminder: eylon levy (israeli spokesperson) said the gazans would not starve or lose their healthcare infrastructure back in november.,True
@AA-SOM,2024-03-01T21:14:20Z,2,"are you kidding me! israeli statement says, “looting truck.” these are humanitarian aid trucks for people starving for 2 months!! israelis would understand if they only had a shred of humanity in them!!!",True
@tyramos80,2024-03-01T21:14:14Z,3,biden is finished! no ceasefire could change anything at this point. hate to say this but get ready for 4 more years of trumpster dumpster‼️,True
@bigjdm5460,2024-03-01T21:14:14Z,2,i dnt get how u get out of nazi germany than the offspring justify this after months of murder? goofy,True
@FDR_progressive_liberal,2024-03-01T21:14:06Z,2,the descendants of the victims of the concentration camps learned well from the nazis.,True
@MartialJustice,2024-03-01T21:13:04Z,2,this is complete bullshit. you need to remove your lies. the troops fired in the air. the truck drivers were palestinians.,True
@musakoroma6966,2024-03-01T21:12:34Z,4,idf are not soldiers they are topnotch terrorists supported by the us. they are designated license killers protected and funded by the us.,True
@thehusmenaga,2024-03-01T21:11:47Z,2,idf are just a group of coward terrorists,True
@asahisagoiboi3517,2024-03-01T21:10:17Z,2,cenk will have a blood clot soon hopefully.,True
@PinstripePride85,2024-03-01T21:09:17Z,2,making a youtube channel to cry about it is really helping 😂,True
@chrisperez3614,2024-03-01T21:08:12Z,4,israel is just pure evil,True
@migrant_x,2024-03-01T21:05:24Z,6,"right-wing zionists are going nuts in the comments, trying everything they can to spread their hate against muslims... when the end justifies the means...",True
@terrencemcginnis7221,2024-03-01T21:04:19Z,3,"why does america continue to support mass murder of innocent civilians??? in my mind israel is no better than germany was back in the days of darkness. both leaders show the same utter disregard for innocent human life to the point where it seems more like absolute distain for humanity. netanyahu should grow one of those funny little mustaches so he'll look more like his roll model. how damn disgusting to see how much power this one deranged little country has at its disposal thanks to the support of the usa. our tax dollars are helping netanyahu commit mass murder every single day in gaza. how big of a blood stain does tens of thousands of bloody deaths of innocent  men, women, and children leave on our legacy as a nation?
 this country used to stand against this kind of butchery, (ironically, it's why israel exists in the first place). now we are complicit in a level of mass murder that amounts to genocide. both netanyahu and biden should be tried in the hague for war crimes against humanity in my opinion. this is disgusting, and it's eroding the loyalty of many americans, consciously, or unconscoiusly.",True
@koetrotsotetsi2598,2024-03-01T21:03:50Z,2,this is sad and painful. i feel for the nation of palestine. may god give them strength to overcome this tragedy,True
@user-bj2gq4pt3j,2024-03-01T21:03:46Z,2,completely and utterly lies and propaganda from this people.  all without base.  hamas propaganda mouthpiece,True
@edgardomartinez8455,2024-03-01T21:03:43Z,4,the so called people of god has done demonic act on hungry palestinians.what's happenning ...fo they rezlly believe that almighty god will tolerate their evil actions.i doubt it.god is god .he will give justice to all his creations and palestinians are also his creation,True
@jasonbrown9027,2024-03-01T21:02:35Z,2,"what an idiot this guy is. this war and what it looks like,you people vote in more democrats and  this will be what the united states will look like soon. so wake up.and stop voting these people  into office",True
@TheHeadOfTheGamePodcast,2024-03-01T21:02:18Z,9,this is the modern day holocaust.,True
@user-xp2id9go2l,2024-03-01T21:00:02Z,4,"lies lies lies from hammas for uber libs that make money from fomenting outrage.   this is fox, tucker, and the worst of the rest.     the guys that ride atop the convoys are hammas, they are armed. they are there to distribute half or less and then take rest  into tunnels to feed hammas and to be sold to black mkt to raise money for more guns and terror.   the idf there that day noticed a terrorist atop a truck shoot towards the crowd to control the crowd. and returned fire to the armed gun men. what insued is aggravated pandemonium that led the drivers to freak.   as we dont charge cops or first responders that kill the wrong people in simular situations, and we withold opinions until investigations, tyt, as if  feeding in on jew hate raises the pitch the volume all while knowing they are not doing due diligence, not truly fact checking as their are plenty of ""facts""  on the ground created by jew haters for jew haters.     so cenk i love your performances so passionate you could  personally win against evil benjamin  or evil jews yada, with another burning man extravaganza. i'll even bring the bbq!  m n for hire  at g mail.    please people, look for the truth, or reach out with hard evidence to me and i will apologize to my end if need be.",True
@johnyoung5392,2024-03-01T20:59:38Z,2,thank you turks for supporting biden.,True
@504forlife,2024-03-01T20:58:53Z,10,all israel is doing is creating future enemies all over the world. i don't see why the israelis citizens are not thinking about this.,True
@nicholasalexander434,2024-03-01T20:58:15Z,3,can you imagine yourself lying about an upcoming ceasefire while casually eating an ice cream? i saw biden eating ice cream and it made me choke up think of the palestinian children killed in gaza.  😥🍦,True
